FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,F_DENSITY,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18,TARGET,VECES_SUPERO_UMBRAL,S4_MAX,S4_MEAN,TOTAL_MEDICIONES,HORA_PICO,PRN_PICO
2013-01-16,,,,,,,,,0.0,0.0,10.000000000000073,False,,,,,,,,,,0.0,10.000000000000073,-4.999999999999929,False,,10.292307692307691,1.5,0.3,0.8399999999999999,0.1249999999999999,0.57,-0.384,399.5,5.802298395176403,-4.0,3.25,-1.0,2.43,5.03,-4.725,21.5,23.0,129.0,132.6,4.0,6.0,,,,,,,
2013-01-17,,,,,,,,,0.0,4.999999999999929,-49.99999999999993,False,,,,,,,,,,0.0,30.0,0.0,False,,9.988888888888887,-1.35,-2.8,1.0,2.17,2.71,-0.418,373.0,8.04155872120988,-4.6,-51.5,-52.0,0.1725,0.37,-12.425,28.5,30.0,171.0,118.8,4.0,6.0,,,,,,,
2013-01-18,,344.4,,,,9.5,,,1.0,4.999999999999929,-55.00000000000007,False,,,,,,,,,,0.0,15.0,0.0,False,,10.244444444444444,1.0,-0.9,-0.02,0.0125,0.76,0.0629999999999999,441.75,2.753785273643051,-2.1,0.0,-15.0,6.890000000000001,12.38,-2.625,25.0,30.0,150.0,111.5,4.0,6.0,,,,,,,
2013-01-19,21.5,364.3,0.3307692307692307,0.6249999999999991,0.0096153846153846,8.325,7.7,0.6249999999999991,6.0,0.0,4.999999999999929,True,65.0,30.30000000000001,391.6,0.5509090909090911,-0.0249999999999985,-0.0004545454545454,8.4,8.3,0.0999999999999996,12.0,4.999999999999929,0.0,True,55.0,8.192647058823532,-4.550000000000001,-6.9,-1.1200000000000003,1.405,2.32,0.422,434.75,2.6299556396765835,1.9,-12.5,-19.0,2.89,4.03,2.6,23.5,27.0,141.0,103.3,4.0,6.0,,,,,,,
2013-01-20,-11.5,384.8,-0.1916666666666666,0.25,0.0041666666666666,9.1,8.8,0.2999999999999989,5.0,4.999999999999929,4.999999999999929,True,60.0,39.0,407.5,0.7090909090909091,-0.5500000000000007,-0.01,9.15,8.5,0.6500000000000004,12.0,4.999999999999929,0.0,True,55.0,8.90625,-1.0,-2.4,-0.92,0.25,0.77,0.2179999999999999,387.0,1.4142135623730951,-0.6,-10.25,-12.0,1.12,1.19,0.725,5.0,7.0,30.0,103.2,4.0,6.0,,,,,,,
2013-01-21,-69.90000000000003,446.8,-1.0753846153846158,-2.5500000000000007,-0.0392307692307692,9.9,7.35,2.5500000000000007,9.0,0.0,4.999999999999929,True,65.0,31.40000000000004,408.3,0.5709090909090915,-0.4499999999999993,-0.0081818181818181,7.35,6.9,0.4499999999999993,12.0,4.999999999999929,0.0,True,55.0,7.6175000000000015,-0.35,-1.4,0.4999999999999999,0.22,0.57,-0.1279999999999999,348.25,5.737304826019502,-4.3,-8.0,-10.0,1.1075,1.15,-0.75,6.5,10.0,39.0,104.9,4.0,6.0,,,,,,,
2013-01-22,56.60000000000002,438.3,0.9433333333333336,-0.9499999999999992,-0.0158333333333333,11.25,9.6,1.6500000000000004,5.0,0.0,0.0,True,60.0,-3.6000000000000227,439.6,-0.0600000000000003,-2.8000000000000007,-0.0466666666666666,10.3,7.5,2.8000000000000007,5.0,0.0,0.0,True,60.0,9.65,0.475,-0.1,-0.1299999999999999,0.04,0.24,0.0359999999999999,309.75,2.98607881119482,-2.3,0.25,-1.0,0.9775,1.08,-1.4,0.0,0.0,0.0,106.9,4.0,6.0,,,,,,,
2013-01-23,,,,,,,,,0.0,0.0,-15.0,False,,,,,,,,,,0.0,15.0,0.0,False,,10.7125,-2.075,-2.6,-0.49,0.7975,0.9,0.0249999999999999,287.25,3.304037933599835,-2.3,-4.0,-7.0,1.0325,1.08,-2.15,1.5,3.0,9.0,101.6,4.0,6.0,,,,,,,
2013-01-24,,,,,,,,,0.0,0.0,-15.0,False,,,,,,,,,,0.0,15.0,0.0,False,,10.771428571428572,2.725,1.7,0.49,-1.2175,-0.86,-0.149,279.75,2.6299556396765835,1.9,14.0,12.0,1.5025,1.74,4.625,0.0,0.0,0.0,100.2,4.0,6.0,,,,,,,
2013-01-25,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,15.0,0.0,False,,10.375,-1.8500000000000003,-11.3,-1.88,1.1025,4.21,-0.0209999999999999,390.0,5.94418483337567,2.6,6.0,-21.0,5.1325,5.67,-2.725,23.5,30.0,141.0,97.5,4.0,6.0,,,,,,,
2013-01-26,,,,,,,,,0.0,30.0,0.0,False,,-72.69999999999999,436.9,-1.2116666666666664,-1.6999999999999993,-0.0283333333333333,11.0,9.3,1.6999999999999993,5.0,0.0,0.0,True,60.0,9.678571428571429,-2.325,-5.8,1.49,1.795,3.63,-0.768,508.25,40.23576352782021,23.1,-42.5,-51.0,1.9525,2.74,-3.850000000000001,40.0,40.0,240.0,96.3,4.0,6.0,,,,,,,
2013-01-27,,,,,,,,,0.0,0.0,-45.0,False,,,,,,,,,,0.0,15.0,0.0,False,,11.216666666666669,-0.6,-0.8,0.1399999999999999,0.335,0.46,0.008,416.25,3.304037933599835,-2.5,-18.75,-20.0,0.945,1.03,-0.5249999999999999,10.0,17.0,60.0,94.7,4.0,6.0,,,,,,,
2013-01-28,,,,,,,,,0.0,0.0,-30.0,False,,,,,,,,,,0.0,15.0,0.0,False,,9.871428571428572,-1.075,-1.5,0.07,0.6725,0.88,0.0669999999999999,395.75,2.6299556396765835,-0.1,-11.75,-14.0,1.0425,1.07,-1.7000000000000002,15.0,17.0,90.0,94.7,4.0,6.0,,,,,,,
2013-01-29,30.299999999999955,337.9,0.5049999999999992,-0.7000000000000011,-0.0116666666666666,11.4,10.7,0.7000000000000011,5.0,0.0,0.0,True,60.0,38.0,375.9,0.6333333333333333,-0.0999999999999996,-0.0016666666666666,10.8,10.6,0.200000000000001,5.0,0.0,0.0,True,60.0,10.9,0.3999999999999999,-0.2,-0.4600000000000001,0.025,0.28,0.158,350.5,3.415650255319866,-2.2,-5.5,-7.0,0.6950000000000001,0.81,-1.05,1.5,3.0,9.0,92.6,4.0,6.0,,,,,,,
2013-01-30,,,,,,,,,0.0,0.0,-15.0,False,,,,,,,,,,0.0,15.0,0.0,False,,9.48125,-0.2749999999999999,-0.6,0.19,0.18,0.25,-0.054,313.5,3.1091263510296048,-2.4,-11.5,-13.0,0.645,0.67,-0.75,1.5,3.0,9.0,93.8,4.0,6.0,,,,,,,
2013-01-31,-7.300000000000011,331.9,-0.1216666666666668,0.2999999999999989,0.0049999999999999,10.2,9.8,0.3999999999999986,3.0,0.0,0.0,True,60.0,16.600000000000023,333.6,0.276666666666667,-0.5,-0.0083333333333333,10.1,9.6,0.5,3.0,0.0,0.0,True,60.0,9.92,-2.675,-3.9,0.6699999999999999,1.0325,1.38,0.0549999999999999,327.5,1.2909944487358056,-0.4,2.5,-7.0,1.955,2.14,-1.725,8.5,10.0,51.0,99.7,4.0,6.0,,,,,,,
2013-02-01,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,15.0,0.0,False,,8.9,2.35,-0.1,-1.6599999999999997,0.3625,1.63,0.877,366.5,15.673757260678329,11.6,4.0,-3.0,2.405,4.74,-6.725,18.0,23.0,108.0,100.7,4.0,6.0,,,,,,,
2013-02-02,,395.8,,,,9.1,,,1.0,0.0,-60.0,False,,,,,,,,,,0.0,15.0,0.0,False,,9.31,0.75,0.1,0.34,0.275,0.51,-0.072,459.25,6.849574196011505,-0.1,-8.25,-11.0,1.1675,1.44,-2.825,20.0,30.0,120.0,108.6,4.0,6.0,,,,,,,
2013-02-03,,338.4,,,,11.6,,,1.0,0.0,-60.0,False,,,,,,,,,,0.0,15.0,0.0,False,,11.52,2.225,0.9,-0.57,-0.2075,0.16,0.139,409.0,3.741657386773941,-2.2,-1.25,-2.0,2.5175,2.85,-3.25,5.0,7.0,30.0,107.9,4.0,6.0,,,,,,,
2013-02-04,0.5999999999999659,403.7,0.0099999999999994,-0.3500000000000014,-0.0058333333333333,9.55,9.2,0.3500000000000014,5.0,0.0,0.0,True,60.0,5.699999999999989,406.1,0.0949999999999998,-0.1999999999999993,-0.0033333333333333,9.25,8.8,0.4499999999999993,5.0,0.0,0.0,True,60.0,9.188888888888888,0.2,-2.0,-0.5,-0.09,0.55,0.076,346.5,3.0,-2.2,13.5,13.0,3.0275000000000003,3.18,0.125,13.0,23.0,78.0,103.7,4.0,6.0,,,,,,,
2013-02-05,,385.2,,,,9.55,,,1.0,15.0,-45.0,False,,,,,,,,,,0.0,15.0,0.0,False,,9.15,0.575,-2.5,-0.4299999999999999,-0.47,0.56,0.1,333.0,4.320493798938574,-2.8,2.25,2.0,1.4775,1.84,1.85,0.0,0.0,0.0,102.2,4.0,6.0,,,,,,,
2013-02-06,30.09999999999997,407.7,0.5016666666666662,-0.1999999999999993,-0.0033333333333333,11.35,11.0,0.3499999999999996,5.0,0.0,0.0,True,60.0,29.80000000000001,437.5,0.4966666666666668,-1.3000000000000007,-0.0216666666666666,11.0,9.5,1.5,5.0,0.0,0.0,True,60.0,10.67777777777778,-2.55,-4.6,-0.3400000000000001,0.1099999999999999,0.87,0.078,334.75,1.707825127659933,1.1,5.25,4.0,2.1425,2.28,4.175,8.5,10.0,51.0,100.7,4.0,6.0,,,,,,,
2013-02-07,3.0,379.0,0.05,-0.1500000000000003,-0.0025,8.25,7.9,0.3499999999999996,5.0,0.0,0.0,True,60.0,-28.69999999999999,386.6,-0.4783333333333331,-0.3999999999999994,-0.0066666666666666,8.5,7.7,0.7999999999999998,5.0,0.0,0.0,True,60.0,8.094444444444445,2.2750000000000004,1.3,-0.4699999999999999,-1.0325,-0.26,-0.179,368.75,2.0615528128088303,-0.9,-5.25,-8.0,3.075,3.27,1.65,13.0,13.0,78.0,100.0,4.0,6.0,,,,,,,
2013-02-08,13.200000000000044,383.1,0.2200000000000007,-0.200000000000001,-0.0033333333333333,12.4,12.2,0.200000000000001,5.0,0.0,0.0,True,60.0,31.899999999999977,415.0,0.5316666666666663,-0.8999999999999986,-0.0149999999999999,12.2,11.3,0.8999999999999986,5.0,0.0,0.0,True,60.0,12.011111111111113,-1.6,-2.9,-0.9,0.135,0.58,0.294,445.5,2.3804761428476167,1.6,-10.5,-11.0,1.9975,2.07,2.35,11.5,13.0,69.0,101.4,4.0,6.0,,,,,,,
2013-02-09,25.5,384.5,0.425,-0.1500000000000003,-0.0025,9.7,9.35,0.3499999999999996,5.0,0.0,0.0,True,60.0,30.5,407.0,0.5083333333333333,-0.5499999999999989,-0.0091666666666666,9.35,8.6,0.75,5.0,0.0,0.0,True,60.0,9.261111111111113,-1.0750000000000002,-2.2,-0.6300000000000001,-0.6375000000000001,-0.2,0.2349999999999999,402.25,4.856267428111155,-3.7,-2.0,-4.0,1.8725,1.92,5.3500000000000005,6.5,10.0,39.0,104.8,4.0,6.0,,,,,,,
2013-02-10,-22.30000000000001,381.5,-0.3716666666666668,0.0,0.0,9.8,9.6,0.200000000000001,5.0,0.0,0.0,True,60.0,39.19999999999999,398.4,0.6533333333333331,-0.6999999999999993,-0.0116666666666666,9.7,9.0,0.6999999999999993,5.0,0.0,0.0,True,60.0,9.52777777777778,-2.125,-2.4,0.03,0.645,0.79,0.0299999999999999,359.5,5.972157622389639,-4.2,-10.25,-13.0,1.2875,1.42,0.125,15.0,20.0,90.0,103.2,4.0,6.0,,,,,,,
2013-02-11,37.19999999999999,427.2,0.6199999999999998,-0.3000000000000007,-0.005,11.0,10.6,0.4000000000000003,5.0,0.0,0.0,True,60.0,19.69999999999999,446.9,0.3283333333333331,-1.4000000000000004,-0.0233333333333333,10.6,9.2,1.4000000000000004,5.0,0.0,0.0,True,60.0,10.183333333333332,-0.6,-1.9,0.3399999999999999,0.905,1.43,-0.2299999999999999,364.75,4.573474244670748,0.7,-8.25,-11.0,1.5750000000000002,1.83,-4.025,20.0,20.0,120.0,102.5,4.0,6.0,,,,,,,
2013-02-12,-25.80000000000001,365.6,-0.4300000000000002,0.0,0.0,9.8,9.5,0.3000000000000007,5.0,0.0,0.0,True,60.0,40.39999999999998,379.9,0.673333333333333,-0.0999999999999996,-0.0016666666666666,9.5,9.4,0.0999999999999996,5.0,0.0,0.0,True,60.0,9.555555555555555,-1.7,-3.2,1.02,0.775,1.17,-0.298,354.75,4.573474244670748,-2.5,-5.75,-11.0,1.5575,1.7,-1.375,22.0,27.0,132.0,99.2,4.0,6.0,,,,,,,
2013-02-13,11.699999999999989,383.5,0.1949999999999998,0.5500000000000007,0.0091666666666666,10.9,10.35,0.5500000000000007,5.0,0.0,0.0,True,60.0,42.80000000000001,426.3,0.7133333333333335,-0.5999999999999996,-0.0099999999999999,10.9,10.3,0.5999999999999996,5.0,0.0,0.0,True,60.0,10.588888888888889,-2.975,-5.8,-2.11,1.5125,2.53,0.585,380.25,12.816005617976296,-2.1,-12.75,-22.0,3.8225,4.23,-2.95,38.0,43.0,228.0,97.8,4.0,6.0,,,,,,,
2013-02-14,-3.5,384.9,-0.0583333333333333,-0.3000000000000007,-0.005,10.3,10.0,0.3000000000000007,5.0,0.0,0.0,True,60.0,-13.299999999999956,401.2,-0.2216666666666659,-0.3000000000000007,-0.005,10.3,9.4,0.9000000000000004,5.0,0.0,0.0,True,60.0,10.000000000000002,-0.95,-1.1,0.0399999999999999,0.01,0.19,0.04,382.75,1.2583057392117916,-0.5,-19.5,-21.0,1.23,1.29,1.6,21.5,23.0,129.0,97.0,4.0,6.0,,,,,,,
2013-02-15,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,,,False,,,-0.4499999999999999,-1.9,-0.2199999999999999,-0.2275,0.13,0.023,336.25,5.315072906367325,-3.9,-17.25,-18.0,1.2075,1.42,2.15,16.5,20.0,99.0,97.7,4.0,6.0,,,,,,,
2013-02-16,48.19999999999999,428.5,0.8033333333333331,-1.4000000000000004,-0.0233333333333333,11.75,10.2,1.5500000000000007,5.0,0.0,0.0,True,60.0,22.100000000000023,452.2,0.3683333333333337,-2.0,-0.0333333333333333,10.2,8.2,2.0,5.0,0.0,0.0,True,60.0,10.186111111111112,1.1749999999999998,-1.1,-0.1899999999999999,-1.7400000000000002,-0.8,0.426,379.25,11.615363389350618,-5.3,-16.25,-19.0,2.8575000000000004,3.91,7.125,21.5,33.0,129.0,100.8,4.0,6.0,,,,,,,
2013-02-17,0.1999999999999886,410.1,0.0033333333333331,-0.9500000000000012,-0.0158333333333333,9.65,8.7,0.9500000000000012,5.0,0.0,0.0,True,60.0,-13.399999999999975,415.5,-0.2233333333333329,-1.4999999999999991,-0.0249999999999999,8.7,7.2,1.4999999999999991,5.0,0.0,0.0,True,60.0,8.794444444444444,1.075,-1.5,1.31,-1.1225,-0.29,-0.411,352.25,4.7871355387816905,-2.3,-34.5,-40.0,1.685,1.89,4.525,25.0,30.0,150.0,103.1,4.0,6.0,,,,,,,
2013-02-18,-3.5,378.7,-0.0583333333333333,-0.0999999999999996,-0.0016666666666666,10.0,9.5,0.5,5.0,0.0,0.0,True,60.0,18.69999999999999,398.6,0.3116666666666665,-0.5999999999999996,-0.0099999999999999,9.9,9.3,0.5999999999999996,5.0,0.0,0.0,True,60.0,9.677777777777775,1.2,-0.9,0.36,-0.8175,-0.12,-0.137,319.25,5.909032633745278,3.5,-26.25,-31.0,0.9425,1.01,3.0250000000000004,21.5,33.0,129.0,102.3,4.0,6.0,,,,,,,
2013-02-19,-16.900000000000034,404.8,-0.2816666666666672,-1.0,-0.0166666666666666,10.3,9.3,1.0,5.0,0.0,0.0,True,60.0,39.5,427.4,0.6583333333333333,-0.7000000000000011,-0.0116666666666666,9.3,8.6,0.7000000000000011,5.0,0.0,0.0,True,60.0,9.422222222222224,-0.7499999999999999,-2.3,-1.14,-0.6675,0.07,0.525,365.0,7.702813338860896,-5.4,-13.0,-14.0,1.865,2.08,4.825,18.5,20.0,111.0,109.9,4.0,6.0,,,,,,,
2013-02-20,-13.899999999999975,401.5,-0.2316666666666663,-1.200000000000001,-0.02,9.8,8.6,1.200000000000001,5.0,0.0,0.0,True,60.0,23.69999999999999,411.3,0.3949999999999998,-0.7999999999999998,-0.0133333333333333,8.6,7.8,0.7999999999999998,5.0,0.0,0.0,True,60.0,8.722222222222221,1.925,-0.8,-2.01,0.0649999999999999,1.13,0.884,400.25,4.99165971062398,2.3,-11.0,-14.0,2.6525,2.91,-3.55,15.0,20.0,90.0,111.0,4.0,6.0,,,,,,,
2013-02-21,37.80000000000001,426.1,0.6300000000000002,-0.9500000000000012,-0.0158333333333333,11.55,10.6,0.9500000000000012,5.0,0.0,0.0,True,60.0,26.69999999999999,452.8,0.4449999999999998,-1.299999999999999,-0.0216666666666666,10.6,9.3,1.299999999999999,5.0,0.0,0.0,True,60.0,10.511111111111113,-0.5,-1.7,-0.7599999999999999,0.985,1.56,0.19,392.75,5.852349955359813,2.3,-22.75,-24.0,2.3425,2.58,-4.075,18.5,20.0,111.0,106.2,4.0,6.0,,,,,,,
2013-02-22,-17.19999999999999,405.9,-0.2866666666666664,-2.9000000000000004,-0.0483333333333333,12.4,9.5,2.9000000000000004,3.0,0.0,0.0,True,60.0,82.5,457.6,1.375,1.3000000000000007,0.0216666666666666,11.0,9.5,1.5,5.0,0.0,0.0,True,60.0,10.714285714285714,-2.625,-3.2,-0.45,1.75,1.85,0.092,391.25,3.2015621187164243,2.3,-25.25,-31.0,1.595,1.7,-4.3500000000000005,28.0,33.0,168.0,104.7,4.0,6.0,,,,,,,
2013-02-23,,,,,,,,,0.0,15.0,0.0,False,,67.60000000000002,428.5,1.1266666666666671,-1.299999999999999,-0.0216666666666666,11.6,10.3,1.299999999999999,5.0,0.0,0.0,True,60.0,11.333333333333334,-1.075,-2.0,-0.31,0.5125,0.76,0.009,364.5,4.203173404306164,-3.2,-22.0,-24.0,1.4174999999999998,1.44,-0.925,23.0,23.0,138.0,97.5,4.0,6.0,,,,,,,
2013-02-24,,381.7,,,,11.6,,,1.0,60.0,0.0,False,,56.69999999999999,438.4,0.9449999999999998,-1.0999999999999996,-0.0183333333333333,11.6,10.5,1.0999999999999996,5.0,0.0,0.0,True,60.0,11.205,1.425,1.2,0.03,-0.03,0.03,-0.018,314.75,0.957427107756338,0.3,-9.75,-13.0,1.1025,1.13,-2.225,5.0,7.0,30.0,93.0,4.0,6.0,,,,,,,
2013-02-25,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,,,False,,,0.25,0.0,0.0399999999999999,0.19,0.31,0.046,348.0,2.449489742783178,-1.8,6.0,3.0,3.3475,4.01,-1.45,13.5,17.0,81.0,93.5,4.0,6.0,,,,,,,
2013-03-05,,,,,,,,,0.0,15.0,0.0,False,,92.5,384.3,1.5416666666666667,0.5,0.0083333333333333,8.4,7.0,1.4000000000000004,5.0,0.0,0.0,True,60.0,8.175,-1.1,-1.9,0.54,0.665,0.77,-0.056,345.25,4.193248541803041,-2.3,-8.75,-17.0,1.4449999999999998,1.53,-1.85,8.5,10.0,51.0,116.6,4.0,6.0,,,,,,,
